Post Url,Likes,Comments,Views,Post Date,Influencer,Video_id
https://www.instagram.com/traceyhemmings669jg/reel/DHBsOyOxO5G/,0,,240,3/11/2025,traceyhemmings669jg,DHBsOyOxO5G
https://www.instagram.com/rosepuqr1x/reel/DHbN-QWsvr3/,2,0,227,3/21/2025,rosepuqr1x,DHbN-QWsvr3
https://www.instagram.com/sallypullman4093gy/reel/DHBmVlbuigP/,0,,214,3/11/2025,sallypullman4093gy,DHBmVlbuigP
https://www.instagram.com/traceyhemmings669jg/reel/DG0jqRyxbVc/,0,,209,3/5/2025,traceyhemmings669jg,DG0jqRyxbVc
https://www.instagram.com/gomezfvzrby/reel/DG3HPKePKgt/,1,0,205,3/6/2025,gomezfvzrby,DG3HPKePKgt
https://www.instagram.com/sallypullman4093gy/reel/DHGkNTeOltZ/,1,0,204,3/12/2025,sallypullman4093gy,DHGkNTeOltZ
https://www.instagram.com/traceyhemmings669jg/reel/DHds7WVRzsG/,2,0,203,3/22/2025,traceyhemmings669jg,DHds7WVRzsG
https://www.instagram.com/rosepuqr1x/reel/DHLzfyOsBcy/,0,,197,3/14/2025,rosepuqr1x,DHLzfyOsBcy
https://www.instagram.com/traceyhemmings669jg/reel/DHJJfvcxEHY/,1,0,189,3/13/2025,traceyhemmings669jg,DHJJfvcxEHY
https://www.instagram.com/traceyhemmings669jg/reel/DHTZnnHxiTo/,1,0,186,3/17/2025,traceyhemmings669jg,DHTZnnHxiTo
https://www.instagram.com/sallypullman4093gy/reel/DGvYM0WO4ZF/,0,,183,3/3/2025,sallypullman4093gy,DGvYM0WO4ZF
https://www.instagram.com/gomezfvzrby/reel/DHoGbe5upHp/,0,,180,3/25/2025,gomezfvzrby,DHoGbe5upHp
https://www.instagram.com/sallypullman4093gy/reel/DHds7M_uZYu/,0,,174,3/22/2025,sallypullman4093gy,DHds7M_uZYu
https://www.instagram.com/sallypullman4093gy/reel/DHTYaPxOq7x/,0,,172,3/17/2025,sallypullman4093gy,DHTYaPxOq7x
https://www.instagram.com/dunlapharryq6ailp/reel/DHYoAtGMbYP/,1,0,164,3/20/2025,dunlapharryq6ailp,DHYoAtGMbYP
https://www.instagram.com/traceyhemmings669jg/reel/DHbD9ISRbQX/,,,163,3/21/2025,traceyhemmings669jg,DHbD9ISRbQX
https://www.instagram.com/traceyhemmings669jg/reel/DHGqMgpx4LG/,0,,163,3/12/2025,traceyhemmings669jg,DHGqMgpx4LG
https://www.instagram.com/sallypullman4093gy/reel/DHLsghtu0rr/,0,,157,3/14/2025,sallypullman4093gy,DHLsghtu0rr
https://www.instagram.com/sallypullman4093gy/reel/DHbN3vJu98Y/,2,0,153,3/21/2025,sallypullman4093gy,DHbN3vJu98Y
https://www.instagram.com/sallypullman4093gy/reel/DHJJw-8u08R/,0,,150,3/13/2025,sallypullman4093gy,DHJJw-8u08R
https://www.instagram.com/sallypullman4093gy/reel/DG3XKI2v57T/,1,0,148,3/7/2025,sallypullman4093gy,DG3XKI2v57T
https://www.instagram.com/sallypullman4093gy/reel/DG5pwFnOqPs/,1,0,134,3/7/2025,sallypullman4093gy,DG5pwFnOqPs
https://www.instagram.com/sallypullman4093gy/reel/DG0jpxDuEp3/,0,,134,3/5/2025,sallypullman4093gy,DG0jpxDuEp3
https://www.instagram.com/traceyhemmings669jg/reel/DHEIIRLxCY-/,0,,126,3/11/2025,traceyhemmings669jg,DHEIIRLxCY-
https://www.instagram.com/sallypullman4093gy/reel/DHYv_mUuFj1/,0,,48,3/20/2025,sallypullman4093gy,DHYv_mUuFj1
https://www.instagram.com/gomezfvzrby/reel/DHqjqs0uYKj/,0,,35,3/26/2025,gomezfvzrby,DHqjqs0uYKj
https://www.instagram.com/traceyhemmings669jg/reel/DHoB1lOxcUg/,0,,25,3/25/2025,traceyhemmings669jg,DHoB1lOxcUg
https://www.instagram.com/sallypullman4093gy/reel/DHWHCfZvdL6/,0,,7,3/19/2025,sallypullman4093gy,DHWHCfZvdL6
https://www.instagram.com/gomezfvzrby/reel/DHqjYWFOTI9/,0,,6,3/26/2025,gomezfvzrby,DHqjYWFOTI9
https://www.instagram.com/duncan7ru1qa2t1/reel/DHqp4vTxQb3/,0,,4,3/26/2025,duncan7ru1qa2t1,DHqp4vTxQb3
https://www.instagram.com/sallypullman4093gy/reel/DHoB1GcuIXH/,0,,1,3/25/2025,sallypullman4093gy,DHoB1GcuIXH
