Post Url,Likes,"Comments,collections",forwarding,Views,Post Date,Influencer,Video_id
https://www.tiktok.com/@kevinpotter66/video/7482778766712868138,10,0,1,939,3/17/2025,@kevinpotter66,7482778766712868138
https://www.tiktok.com/@johnsturgis6/video/7485205062671748382,4,0,0,918,3/24/2025,@johnsturgis6,7485205062671748382
https://www.tiktok.com/@joelsoares081/video/7480577021177761055,7,0,1,912,3/11/2025,@joelsoares081,7480577021177761055
https://www.tiktok.com/@nikiaten07/video/7485559725065588011,5,0,0,910,3/25/2025,@nikiaten07,7485559725065588011
https://www.tiktok.com/@daisywilson6/video/7483126820662037803,6,0,0,896,3/18/2025,@daisywilson6,7483126820662037803
https://www.tiktok.com/@nikiaten07/video/7478737942593195307,2,0,0,878,3/7/2025,@nikiaten07,7478737942593195307
https://www.tiktok.com/@nikiaten07/video/7485749490486660398,8,0,0,820,3/25/2025,@nikiaten07,7485749490486660398
https://www.tiktok.com/@marvinslade3/video/7483689234662985002,4,0,0,779,3/21/2025,@marvinslade3,7483689234662985002
https://www.tiktok.com/@joelsoares081/video/7485384496376827167,4,0,0,767,3/24/2025,@joelsoares081,7485384496376827167
https://www.tiktok.com/@nikiaten07/video/7482775813004283178,1,0,1,754,3/17/2025,@nikiaten07,7482775813004283178
https://www.tiktok.com/@kevinpotter66/video/7480574121781382442,2,0,1,705,3/11/2025,@kevinpotter66,7480574121781382442
https://www.tiktok.com/@nikiaten07/video/7480725217707396394,3,0,0,675,3/12/2025,@nikiaten07,7480725217707396394
https://www.tiktok.com/@daisywilson6/video/7484980194671955246,3,0,0,626,3/23/2025,@daisywilson6,7484980194671955246
https://www.tiktok.com/@jasonken66/video/7485001948828110111,1,0,0,601,3/24/2025,@jasonken66,7485001948828110111
https://www.tiktok.com/@marvinslade3/video/7483521752702749994,3,0,0,590,3/20/2025,@marvinslade3,7483521752702749994
https://www.tiktok.com/@joelsoares081/video/7478328622420430111,0,0,0,586,3/5/2025,@joelsoares081,7478328622420430111
https://www.tiktok.com/@marvinslade3/video/7485378284415438126,4,0,0,522,3/25/2025,@marvinslade3,7485378284415438126
https://www.tiktok.com/@jasonken66/video/7478322222273219871,4,0,0,507,3/5/2025,@jasonken66,7478322222273219871
https://www.tiktok.com/@marvinslade3/video/7480573698529987886,9,1,0,485,3/11/2025,@marvinslade3,7480573698529987886
https://www.tiktok.com/@nikiaten07/video/7481668084189629738,2,0,0,483,3/14/2025,@nikiaten07,7481668084189629738
https://www.tiktok.com/@marvinslade3/video/7478322434588806442,6,0,0,456,3/5/2025,@marvinslade3,7478322434588806442
https://www.tiktok.com/@kevinpotter66/video/7478701399228828970,1,0,0,448,3/6/2025,@kevinpotter66,7478701399228828970
https://www.tiktok.com/@kevinpotter66/video/7485002430674193710,1,0,1,446,3/24/2025,@kevinpotter66,7485002430674193710
https://www.tiktok.com/@kevinpotter66/video/7482404583591906602,15,0,2,432,3/16/2025,@kevinpotter66,7482404583591906602
https://www.tiktok.com/@nikiaten07/video/7485008982256536875,3,0,2,429,3/24/2025,@nikiaten07,7485008982256536875
https://www.tiktok.com/@kevinpotter66/video/7483522561016515886,8,0,1,421,3/20/2025,@kevinpotter66,7483522561016515886
https://www.tiktok.com/@nikiaten07/video/7480929063217925422,1,0,0,404,3/12/2025,@nikiaten07,7480929063217925422
https://www.tiktok.com/@kevinpotter66/video/7485378178752564526,3,0,0,387,3/25/2025,@kevinpotter66,7485378178752564526
https://www.tiktok.com/@johnsturgis6/video/7478286268015627551,7,0,1,369,3/5/2025,@johnsturgis6,7478286268015627551
https://www.tiktok.com/@nikiaten07/video/7478331935333846318,5,0,0,369,3/5/2025,@nikiaten07,7478331935333846318
https://www.tiktok.com/@kevinpotter66/video/7479057368697834795,1,0,0,365,3/7/2025,@kevinpotter66,7479057368697834795
https://www.tiktok.com/@kevinpotter66/video/7483143704073506094,0,0,1,351,3/19/2025,@kevinpotter66,7483143704073506094
https://www.tiktok.com/@nikiaten07/video/7483168998713085227,1,0,0,332,3/19/2025,@nikiaten07,7483168998713085227
https://www.tiktok.com/@kevinpotter66/video/7484266561197444394,0,0,0,312,3/22/2025,@kevinpotter66,7484266561197444394
https://www.tiktok.com/@marvinslade3/video/7485760938180676907,6,0,0,306,3/25/2025,@marvinslade3,7485760938180676907
https://www.tiktok.com/@kevinpotter66/video/7483689703758384430,1,0,0,302,3/21/2025,@kevinpotter66,7483689703758384430
https://www.tiktok.com/@nikiaten07/video/7484263046731418922,6,0,0,300,3/22/2025,@nikiaten07,7484263046731418922
https://www.tiktok.com/@nikiaten07/video/7483549422379355435,1,0,0,272,3/20/2025,@nikiaten07,7483549422379355435
https://www.tiktok.com/@johnsturgis6/video/7483531431872892191,0,0,0,265,3/19/2025,@johnsturgis6,7483531431872892191
https://www.tiktok.com/@daisywilson6/video/7484236911041695019,0,0,0,220,3/21/2025,@daisywilson6,7484236911041695019
https://www.tiktok.com/@daisywilson6/video/7481683647595302190,0,0,0,204,3/14/2025,@daisywilson6,7481683647595302190
https://www.tiktok.com/@annabwlxgie/video/7485744793629363487,1,0,0,203,3/25/2025,@annabwlxgie,7485744793629363487
https://www.tiktok.com/@joelsoares081/video/7485749864278609182,1,0,0,194,3/25/2025,@joelsoares081,7485749864278609182
https://www.tiktok.com/@kevinpotter66/video/7477964651095985450,1,0,0,193,3/4/2025,@kevinpotter66,7477964651095985450
https://www.tiktok.com/@kevinpotter66/video/7478331463159680302,1,0,1,184,3/5/2025,@kevinpotter66,7478331463159680302
https://www.tiktok.com/@daisywilson6/video/7485724927887215918,0,0,0,183,3/25/2025,@daisywilson6,7485724927887215918
https://www.tiktok.com/@kevinpotter66/video/7480197893933010222,1,0,0,181,3/10/2025,@kevinpotter66,7480197893933010222
https://www.tiktok.com/@kevinpotter66/video/7485764545651264810,0,0,0,159,3/25/2025,@kevinpotter66,7485764545651264810
https://www.tiktok.com/@marvinslade3/video/7486116822928919854,0,0,0,140,3/26/2025,@marvinslade3,7486116822928919854
https://www.tiktok.com/@kevinpotter66/video/7486117360810675502,0,0,0,122,3/26/2025,@kevinpotter66,7486117360810675502
https://www.tiktok.com/@smithluiio/video/7486127313441000735,4,0,0,114,3/26/2025,@smithluiio,7486127313441000735
https://www.tiktok.com/@daisywilson6/video/7483532924638301483,0,0,0,37,3/19/2025,@daisywilson6,7483532924638301483
https://www.tiktok.com/@daisywilson6/video/7483723748944809262,0,0,0,26,3/20/2025,@daisywilson6,7483723748944809262
https://www.tiktok.com/@daisywilson6/video/7483905055540694318,0,0,0,11,3/20/2025,@daisywilson6,7483905055540694318
